HAddress,HAttractions,HGFW,HImages,HLanguage,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HVideos,URL
"10 Ba Trieu st, Hue 530000 Vietnam",23,91,23,N/A,Casablanca Boutique Hotel,$24 ,$14 ,$14 - $24,"Which popular attractions are close to Casablanca Boutique Hotel?, ,What are some of the property amenities at Casablanca Boutique Hotel?, ,What food & drink options are available at Casablanca Boutique Hotel?, ,Is parking available at Casablanca Boutique Hotel?, ,What are some restaurants close to Casablanca Boutique Hotel?, ,Does Casablanca Boutique Hotel have an airport shuttle?, ,Does Casablanca Boutique Hotel have airport transportation?, ,Are any cleaning services offered at Casablanca Boutique Hotel?, ,Are there any historical sites close to Casablanca Boutique Hotel?, ",31,110,#41 of 209 hotels in Hue,5,2,124,Excellent,27,"Family,Charming",2,https://www.tripadvisor.com/Hotel_Review-g293926-d8296292-Reviews-Casablanca_Boutique_Hotel-Hue_Thua_Thien_Hue_Province.html
"2/28 Vo Thi Sau, Hue Vietnam",27,94,N/A,N/A,Sake Homestay,N/A,N/A,N/A,"Which popular attractions are close to Sake Homestay?, ,What are some restaurants close to Sake Homestay?, ",N/A,N/A,N/A,N/A,N/A,141,N/A,Hue,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d21406205-Reviews-Sake_Homestay-Hue_Thua_Thien_Hue_Province.html
"20 Kiet 42 Nguyen Cong Tru, Hue Vietnam",27,91,N/A,N/A,Life Boutique Hotel,N/A,N/A,N/A,"Which popular attractions are close to Life Boutique Hotel?, ,What are some restaurants close to Life Boutique Hotel?, ",N/A,N/A,N/A,N/A,N/A,147,N/A,Hue,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d23278521-Reviews-Life_Boutique_Hotel-Hue_Thua_Thien_Hue_Province.html
"37 Nguy_n Cong Tr_, Hue 530000 Vietnam",26,92,N/A,N/A,Sline Hotel,N/A,N/A,N/A,"Which popular attractions are close to Sline Hotel?, ,What are some of the property amenities at Sline Hotel?, ,What food & drink options are available at Sline Hotel?, ,Is parking available at Sline Hotel?, ,What are some restaurants close to Sline Hotel?, ,Does Sline Hotel have airport transportation?, ",N/A,N/A,N/A,N/A,N/A,140,N/A,Hue,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d21324983-Reviews-Sline_Hotel-Hue_Thua_Thien_Hue_Province.html
"19B Nguyen Thai Hoc Street, Hue Vietnam",27,92,10,"English, Japanese, Vietnamese",FA Backpackers Hostel,N/A,N/A,N/A,"Which popular attractions are close to FA Backpackers Hostel?, ,What are some of the property amenities at FA Backpackers Hostel?, ,What food & drink options are available at FA Backpackers Hostel?, ,Is parking available at FA Backpackers Hostel?, ,What are some restaurants close to FA Backpackers Hostel?, ,Does FA Backpackers Hostel have an airport shuttle?, ,Does FA Backpackers Hostel have airport transportation?, ,Which languages are spoken by the staff at FA Backpackers Hostel?, ",10,111,#13 of 267 Specialty lodging in Hue,5,N/A,166,Excellent,3,Budget,2,https://www.tripadvisor.com/Hotel_Review-g293926-d10438357-Reviews-FA_Backpackers_Hostel-Hue_Thua_Thien_Hue_Province.html
"57 Dang Dung Street, Hue 54 Vietnam",6,83,56,"English, Vietnamese",Thanh Noi Hotel,$108 ,$106 ,$106 - $108,"Which popular attractions are close to Thanh Noi Hotel?, ,What are some of the property amenities at Thanh Noi Hotel?, ,What food & drink options are available at Thanh Noi Hotel?, ,Is parking available at Thanh Noi Hotel?, ,What are some restaurants close to Thanh Noi Hotel?, ,Are there opportunities to exercise at Thanh Noi Hotel?, ,Does Thanh Noi Hotel have an airport shuttle?, ,Does Thanh Noi Hotel have airport transportation?, ,Is Thanh Noi Hotel located near the city center?, ,Does Thanh Noi Hotel offer any business services?, ",10,112,#141 of 209 hotels in Hue,3,2,13,Average,50,Budget,5,https://www.tripadvisor.com/Hotel_Review-g293926-d620920-Reviews-Thanh_Noi_Hotel-Hue_Thua_Thien_Hue_Province.html
"39/48 Ngo Quyen 5, Hue Vietnam",5,82,N/A,N/A,Liberty Homestay Hue,N/A,N/A,N/A,"Which popular attractions are close to Liberty Homestay Hue?, ,What are some restaurants close to Liberty Homestay Hue?, ,Is Liberty Homestay Hue located near the city center?, ",N/A,N/A,N/A,N/A,N/A,24,N/A,Hue,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d17693522-Reviews-Liberty_Homestay_Hue-Hue_Thua_Thien_Hue_Province.html
"48 Duong Ngo Quyen, Hue Vietnam",8,89,N/A,N/A,Jasmini Mini Hotel,N/A,N/A,N/A,"Which popular attractions are close to Jasmini Mini Hotel?, ,What are some restaurants close to Jasmini Mini Hotel?, ,Is Jasmini Mini Hotel located near the city center?, ",N/A,N/A,N/A,N/A,N/A,35,N/A,Hue,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d21131901-Reviews-Jasmini_Mini_Hotel-Hue_Thua_Thien_Hue_Province.html
"38 Tran Cao Van, Thanh Pho Hue, Hue Vietnam",24,97,N/A,N/A,Ad 41 Hotel Hue,N/A,N/A,N/A,"Which popular attractions are close to Ad 41 Hotel Hue?, ,What are some restaurants close to Ad 41 Hotel Hue?, ,Is Ad 41 Hotel Hue located near the city center?, ",N/A,N/A,N/A,N/A,N/A,129,N/A,Hue,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d21181299-Reviews-Ad_41_Hotel_Hue-Hue_Thua_Thien_Hue_Province.html
"kiet 79 Minh Mang, Hue Vietnam",115,42,N/A,N/A,Nha Nghi79,$12 ,$12 ,$12 - $12,"Which popular attractions are close to Nha Nghi79?, ,What are some restaurants close to Nha Nghi79?, ",N/A,N/A,N/A,N/A,N/A,467,N/A,Hue,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d23271820-Reviews-Nha_Nghi79-Hue_Thua_Thien_Hue_Province.html
"9 Ngo Quyen St., Hue Vietnam",7,89,N/A,N/A,Phu Xuan Hotel,N/A,N/A,N/A,"Which popular attractions are close to Phu Xuan Hotel?, ,What are some restaurants close to Phu Xuan Hotel?, ,Is Phu Xuan Hotel located near the city center?, ",N/A,N/A,N/A,N/A,N/A,35,N/A,119,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d1225125-Reviews-Phu_Xuan_Hotel-Hue_Thua_Thien_Hue_Province.html
"48 D. Ngo Quyen, Vinh Ninh, Hue Vietnam",8,89,N/A,N/A,Jasmine Mini Hotel,N/A,N/A,N/A,"Which popular attractions are close to Jasmine Mini Hotel?, ,What are some restaurants close to Jasmine Mini Hotel?, ,Is Jasmine Mini Hotel located near the city center?, ",N/A,N/A,N/A,N/A,N/A,35,N/A,Hue,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d21491796-Reviews-Jasmine_Mini_Hotel-Hue_Thua_Thien_Hue_Province.html
"14/10 Ben Nghe, Hue 530000 Vietnam",25,93,19,"English, Vietnamese",Eva Homestay,$15 ,$10 ,$10 - $15,"Which popular attractions are close to Eva Homestay?, ,What are some of the property amenities at Eva Homestay?, ,What food & drink options are available at Eva Homestay?, ,What are some restaurants close to Eva Homestay?, ,Does Eva Homestay have airport transportation?, ,Are any cleaning services offered at Eva Homestay?, ,Which languages are spoken by the staff at Eva Homestay?, ",10,117,#1 of 183 B&Bs / Inns in Hue,50,20,183,Excellent,6,"Family,Charming",3,https://www.tripadvisor.com/Hotel_Review-g293926-d14821490-Reviews-Eva_Homestay-Hue_Thua_Thien_Hue_Province.html
"468 Lac Long Quan, thi tran Lang Co, huyen Phu Loc, tinh Thua Thien Hue, Lang Co Vietnam",1,45,N/A,N/A,Khach san Mai Nga,N/A,N/A,N/A,"Which popular attractions are close to Khach san Mai Nga?, ,What are some restaurants close to Khach san Mai Nga?, ",N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g11923533-d23342503-Reviews-Khach_san_Mai_Nga-Lang_Co_Phu_Loc_District_Thua_Thien_Hue_Province.html
"493 Lac Long Quan Street, Lang Co Town, Phu Loc District, Hue Vietnam",N/A,N/A,N/A,N/A,Lang Co T26 Resort,N/A,N/A,N/A,"Which popular attractions are close to Lang Co T26 Resort?, ,What are some of the property amenities at Lang Co T26 Resort?, ,What food & drink options are available at Lang Co T26 Resort?, ,What are some restaurants close to Lang Co T26 Resort?, ,Are there opportunities to exercise at Lang Co T26 Resort?, ,Are there any historical sites close to Lang Co T26 Resort?, ",N/A,4,#148 of 209 hotels in Hue,20,N/A,N/A,Poor,60,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d11706114-Reviews-Lang_Co_T26_Resort-Hue_Thua_Thien_Hue_Province.html
"5/28B Vo Thi Sau, Hue, Hue 530000 Vietnam",27,92,34,"English, Vietnamese",Sunhine Hostel Hue,$19 ,$11 ,$11 - $19,"Which popular attractions are close to Sunhine Hostel Hue?, ,What are some of the property amenities at Sunhine Hostel Hue?, ,Which room amenities are available at Sunhine Hostel Hue?, ,What food & drink options are available at Sunhine Hostel Hue?, ,Is parking available at Sunhine Hostel Hue?, ,What are some restaurants close to Sunhine Hostel Hue?, ,Are there opportunities to exercise at Sunhine Hostel Hue?, ,Does Sunhine Hostel Hue have airport transportation?, ,Are any cleaning services offered at Sunhine Hostel Hue?, ,Which languages are spoken by the staff at Sunhine Hostel Hue?, ,Are there any historical sites close to Sunhine Hostel Hue?, ",22,120,#14 of 267 Specialty lodging in Hue,45,20,161,Excellent,12,"Family,Budget",4,https://www.tripadvisor.com/Hotel_Review-g293926-d12516126-Reviews-Sunhine_Hostel_Hue-Hue_Thua_Thien_Hue_Province.html
"279 Duong Ho Chi Minh, Thi Tran A Luoi 540000 Vietnam",N/A,N/A,10,N/A,Nha nghi Thanh Quang,N/A,N/A,N/A,N/A,1,2,N/A,45,N/A,N/A,Excellent,34,N/A,1,https://www.tripadvisor.com/Hotel_Review-g15292536-d13077010-Reviews-Nha_nghi_Thanh_Quang-Thi_Tran_A_Luoi_Thua_Thien_Hue_Province.html
"12 Nguyen Van Cu St, Hue Vietnam",9,89,56,Vietnamese,Alba Hotel,$46 ,$18 ,$18 - $46,"Which popular attractions are close to Alba Hotel?, ,What are some of the property amenities at Alba Hotel?, ,What food & drink options are available at Alba Hotel?, ,Is parking available at Alba Hotel?, ,What are some restaurants close to Alba Hotel?, ,Does Alba Hotel have airport transportation?, ,Is Alba Hotel located near the city center?, ,Are any cleaning services offered at Alba Hotel?, ,Are there any historical sites close to Alba Hotel?, ,Is Alba Hotel accessible?, ",34,121,#43 of 209 hotels in Hue,45,30,55,Excellent,32,"Family,Modern",5,https://www.tripadvisor.com/Hotel_Review-g293926-d1957336-Reviews-Alba_Hotel-Hue_Thua_Thien_Hue_Province.html
"Dao Trinh Nhat 04 Dao Trinh Nhat - Vi Da ward, Hue Vietnam",27,70,N/A,N/A,THAO AN HOTEL Hue,N/A,N/A,N/A,"Which popular attractions are close to THAO AN HOTEL Hue?, ,What are some restaurants close to THAO AN HOTEL Hue?, ",N/A,N/A,N/A,N/A,N/A,167,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d23258804-Reviews-THAO_AN_HOTEL_Hue-Hue_Thua_Thien_Hue_Province.html
"72 Ben Nghe, Hue 123456 Vietnam",8,95,N/A,N/A,Thang Long 1 Hotel,N/A,N/A,N/A,"Which popular attractions are close to Thang Long 1 Hotel?, ,What are some of the property amenities at Thang Long 1 Hotel?, ,What food & drink options are available at Thang Long 1 Hotel?, ,Is parking available at Thang Long 1 Hotel?, ,What are some restaurants close to Thang Long 1 Hotel?, ,Does Thang Long 1 Hotel have an airport shuttle?, ",N/A,1,#137 of 209 hotels in Hue,20,N/A,93,Poor,20,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d2420938-Reviews-Thang_Long_1_Hotel-Hue_Thua_Thien_Hue_Province.html
"31/56 Nguyen Cong Tru, Hue 530000 Vietnam",27,92,N/A,N/A,La Homestay,N/A,N/A,N/A,"Which popular attractions are close to La Homestay?, ,What are some of the property amenities at La Homestay?, ,What food & drink options are available at La Homestay?, ,Is parking available at La Homestay?, ,What are some restaurants close to La Homestay?, ,Does La Homestay have an airport shuttle?, ,Does La Homestay have airport transportation?, ",N/A,5,#106 of 209 hotels in Hue,40,N/A,155,Very good,5,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d15682601-Reviews-La_Homestay-Hue_Thua_Thien_Hue_Province.html
"Hung Vuong To 9 3/37 2/37 Hung Vuong, Hue Vietnam",9,93,N/A,N/A,An Thai Homestay Hue,N/A,N/A,N/A,"Which popular attractions are close to An Thai Homestay Hue?, ,What are some restaurants close to An Thai Homestay Hue?, ,Is An Thai Homestay Hue located near the city center?, ",N/A,N/A,N/A,N/A,N/A,97,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d23367102-Reviews-An_Thai_Homestay_Hue-Hue_Thua_Thien_Hue_Province.html
"77A Han Mac Tu, Hue 530000 Vietnam",7,84,36,"English, Vietnamese",Ks Nam Phuong Riverside Villa,$15 ,$10 ,$10 - $15,"Which popular attractions are close to Ks Nam PhÆ°Æ¡ng Riverside Villa?, ,What are some of the property amenities at Ks Nam PhÆ°Æ¡ng Riverside Villa?, ,What food & drink options are available at Ks Nam PhÆ°Æ¡ng Riverside Villa?, ,Is parking available at Ks Nam PhÆ°Æ¡ng Riverside Villa?, ,What are some restaurants close to Ks Nam PhÆ°Æ¡ng Riverside Villa?, ,Does Ks Nam PhÆ°Æ¡ng Riverside Villa have an airport shuttle?, ,Does Ks Nam PhÆ°Æ¡ng Riverside Villa have airport transportation?, ,Are any cleaning services offered at Ks Nam PhÆ°Æ¡ng Riverside Villa?, ,Are pets allowed at Ks Nam PhÆ°Æ¡ng Riverside Villa?, ,Which languages are spoken by the staff at Ks Nam PhÆ°Æ¡ng Riverside Villa?, ",20,122,#1 of 267 Specialty lodging in Hue,50,30,47,Excellent,16,"Great View,Quaint",3,https://www.tripadvisor.com/Hotel_Review-g293926-d11726491-Reviews-Ks_Nam_Phuong_Riverside_Villa-Hue_Thua_Thien_Hue_Province.html
"6 Tran Anh Lien, Hue 52000 Vietnam",18,66,N/A,N/A,Golden Inn Hotel,N/A,N/A,N/A,"Which popular attractions are close to Golden Inn Hotel?, ,What are some of the property amenities at Golden Inn Hotel?, ,What food & drink options are available at Golden Inn Hotel?, ,Is parking available at Golden Inn Hotel?, ,What are some restaurants close to Golden Inn Hotel?, ,Does Golden Inn Hotel have airport transportation?, ",N/A,3,#96 of 209 hotels in Hue,50,N/A,113,Excellent,15,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d21310910-Reviews-Golden_Inn_Hotel-Hue_Thua_Thien_Hue_Province.html
"1B Le Vi_t Lu_ng Hu_, Hue 530000 Vietnam",5,76,N/A,N/A,Myfa House,$25 ,$19 ,$19 - $25,"Which popular attractions are close to Myfa House?, ,What are some of the property amenities at Myfa House?, ,Which room amenities are available at Myfa House?, ,Is parking available at Myfa House?, ,What are some restaurants close to Myfa House?, ,Does Myfa House have an airport shuttle?, ,Does Myfa House have airport transportation?, ,Are pets allowed at Myfa House?, ",N/A,1,#110 of 209 hotels in Hue,50,N/A,25,Excellent,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d21334369-Reviews-Myfa_House-Hue_Thua_Thien_Hue_Province.html
"179 Ba Trieu, Hue Vietnam",6,77,N/A,Vietnamese,Thai Son Hotel,N/A,N/A,N/A,"Which popular attractions are close to Thai Son Hotel?, ,What are some of the property amenities at Thai Son Hotel?, ,What food & drink options are available at Thai Son Hotel?, ,What are some restaurants close to Thai Son Hotel?, ",N/A,N/A,N/A,N/A,N/A,19,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d11883820-Reviews-Thai_Son_Hotel-Hue_Thua_Thien_Hue_Province.html
"9 Nguyen Luong Bang, Hue 49000 Vietnam",6,84,N/A,N/A,Na Homestay,N/A,N/A,N/A,"Which popular attractions are close to Na Homestay?, ,What are some restaurants close to Na Homestay?, ",N/A,N/A,N/A,N/A,N/A,32,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d21273410-Reviews-Na_Homestay-Hue_Thua_Thien_Hue_Province.html
"02/109 Nguyen Hue Str Phu Nhuan Ward, Hue 530000 Vietnam",6,76,N/A,N/A,Minh Khang Hotel,N/A,N/A,N/A,"Which popular attractions are close to Minh Khang Hotel?, ,What are some of the property amenities at Minh Khang Hotel?, ,What food & drink options are available at Minh Khang Hotel?, ,Is parking available at Minh Khang Hotel?, ,What are some restaurants close to Minh Khang Hotel?, ,Does Minh Khang Hotel have airport transportation?, ",N/A,1,#122 of 209 hotels in Hue,50,N/A,16,Excellent,15,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293926-d11799100-Reviews-Minh_Khang_Hotel-Hue_Thua_Thien_Hue_Province.html
"10/10 Nguyen Tri Phuong 2/34 Nguyen Tri Phuong, Hue T827729 Vietnam",14,97,35,"English, French, Russian, Vietnamese",Phong Nha Hotel,$13 ,$11 ,$11 - $13,"Which popular attractions are close to Phong Nha Hotel?, ,What are some of the property amenities at Phong Nha Hotel?, ,Which room amenities are available at Phong Nha Hotel?, ,What food & drink options are available at Phong Nha Hotel?, ,Is parking available at Phong Nha Hotel?, ,What are some restaurants close to Phong Nha Hotel?, ,Does Phong Nha Hotel have an airport shuttle?, ,Does Phong Nha Hotel have airport transportation?, ,Is Phong Nha Hotel located near the city center?, ,Are pets allowed at Phong Nha Hotel?, ",21,129,#76 of 209 hotels in Hue,40,20,98,Very good,20,"Budget,Centrally Located",7,https://www.tripadvisor.com/Hotel_Review-g293926-d630794-Reviews-Phong_Nha_Hotel-Hue_Thua_Thien_Hue_Province.html
"66/7 Le Loi Str., Hue Vietnam",4,76,24,N/A,Impression Hotel,N/A,N/A,N/A,"Which popular attractions are close to Impression Hotel?, ,What are some of the property amenities at Impression Hotel?, ,What food & drink options are available at Impression Hotel?, ,What are some restaurants close to Impression Hotel?, ,Are there opportunities to exercise at Impression Hotel?, ,Does Impression Hotel have airport transportation?, ,Is Impression Hotel located near the city center?, ",28,129,#121 of 209 hotels in Hue,30,20,20,Average,22,Centrally Located,5,https://www.tripadvisor.com/Hotel_Review-g293926-d1135423-Reviews-Impression_Hotel-Hue_Thua_Thien_Hue_Province.html
"7/41 Ngo Quyen, Hue 530000 Vietnam",14,96,37,"English, Vietnamese",Thanh An Guesthouse,N/A,N/A,N/A,"Which popular attractions are close to Thanh An Guesthouse?, ,What are some of the property amenities at Thanh An Guesthouse?, ,Which room amenities are available at Thanh An Guesthouse?, ,What food & drink options are available at Thanh An Guesthouse?, ,What are some restaurants close to Thanh An Guesthouse?, ,Does Thanh An Guesthouse have airport transportation?, ,Is Thanh An Guesthouse located near the city center?, ,Which languages are spoken by the staff at Thanh An Guesthouse?, ",11,135,#16 of 267 Specialty lodging in Hue,45,N/A,70,Excellent,10,"Budget,Centrally Located",1,https://www.tripadvisor.com/Hotel_Review-g293926-d8465349-Reviews-Thanh_An_Guesthouse-Hue_Thua_Thien_Hue_Province.html
"1/67 Vo Thi Sau, Hue Vietnam",27,95,50,"English, Japanese, Vietnamese",Bonjour Hostel,$12 ,$10 ,$10 - $12,"Which popular attractions are close to Bonjour Hostel?, ,What are some of the property amenities at Bonjour Hostel?, ,What food & drink options are available at Bonjour Hostel?, ,What are some restaurants close to Bonjour Hostel?, ,Does Bonjour Hostel have airport transportation?, ,Which languages are spoken by the staff at Bonjour Hostel?, ,Are there any historical sites close to Bonjour Hostel?, ",13,136,#15 of 267 Specialty lodging in Hue,45,N/A,141,Excellent,N/A,"Centrally Located,Family",1,https://www.tripadvisor.com/Hotel_Review-g293926-d12413567-Reviews-Bonjour_Hostel-Hue_Thua_Thien_Hue_Province.html
"2 Luong Quan Street, Thuy Bieu Village, Hue Vietnam",N/A,N/A,175,"English, Vietnamese",Hue Ecolodge,$71 ,$38 ,$38 - $71,"Which popular attractions are close to Hue Ecolodge?, ,What are some of the property amenities at Hue Ecolodge?, ,Which room amenities are available at Hue Ecolodge?, ,What food & drink options are available at Hue Ecolodge?, ,Is parking available at Hue Ecolodge?, ,What are some restaurants close to Hue Ecolodge?, ,Are there opportunities to exercise at Hue Ecolodge?, ,Does Hue Ecolodge have an airport shuttle?, ,Does Hue Ecolodge have airport transportation?, ,Are any cleaning services offered at Hue Ecolodge?, ",49,139,#48 of 209 hotels in Hue,45,30,N/A,Excellent,30,"Trendy,Charming",38,https://www.tripadvisor.com/Hotel_Review-g293926-d10433427-Reviews-Hue_Ecolodge-Hue_Thua_Thien_Hue_Province.html
"46 Chu Van An Street, Hue Vietnam",27,93,9,N/A,Ngoc Hung Backpackers Hotel,$13 ,$12 ,$12 - $13,"Which popular attractions are close to Ngoc Hung Backpackers Hotel?, ,What are some of the property amenities at Ngoc Hung Backpackers Hotel?, ,Which room amenities are available at Ngoc Hung Backpackers Hotel?, ,What food & drink options are available at Ngoc Hung Backpackers Hotel?, ,What are some restaurants close to Ngoc Hung Backpackers Hotel?, ,Does Ngoc Hung Backpackers Hotel have an airport shuttle?, ,Does Ngoc Hung Backpackers Hotel have airport transportation?, ,Are pets allowed at Ngoc Hung Backpackers Hotel?, ",19,140,#28 of 267 Specialty lodging in Hue,40,10,166,Very good,12,"Centrally Located,Budget",19,https://www.tripadvisor.com/Hotel_Review-g293926-d2367705-Reviews-Ngoc_Hung_Backpackers_Hotel-Hue_Thua_Thien_Hue_Province.html
"11B Nguyen Cong Tru Street, Hue 530000 Vietnam",27,94,35,N/A,Tigon Hostel,N/A,N/A,N/A,"Which popular attractions are close to Tigon Hostel?, ,What are some of the property amenities at Tigon Hostel?, ,What food & drink options are available at Tigon Hostel?, ,What are some restaurants close to Tigon Hostel?, ,Does Tigon Hostel have airport transportation?, ,Are there any historical sites close to Tigon Hostel?, ",17,144,#47 of 267 Specialty lodging in Hue,35,20,140,Very good,10,Budget,11,https://www.tripadvisor.com/Hotel_Review-g293926-d4557273-Reviews-Tigon_Hostel-Hue_Thua_Thien_Hue_Province.html
"36 Nguyen Tri Phuong St, Hue Vietnam",16,97,13,"English, Vietnamese",Binh Minh Sunrise Hotel,$21 ,$14 ,$14 - $21,"Which popular attractions are close to Binh Minh Sunrise Hotel?, ,What are some of the property amenities at Binh Minh Sunrise Hotel?, ,Which room amenities are available at Binh Minh Sunrise Hotel?, ,What food & drink options are available at Binh Minh Sunrise Hotel?, ,Is parking available at Binh Minh Sunrise Hotel?, ,What are some restaurants close to Binh Minh Sunrise Hotel?, ,Does Binh Minh Sunrise Hotel have airport transportation?, ,Is Binh Minh Sunrise Hotel located near the city center?, ,Which languages are spoken by the staff at Binh Minh Sunrise Hotel?, ",5,147,#67 of 209 hotels in Hue,40,20,101,Very good,147,"Mid-range,Centrally Located",3,https://www.tripadvisor.com/Hotel_Review-g293926-d613864-Reviews-Binh_Minh_Sunrise_Hotel-Hue_Thua_Thien_Hue_Province.html
"35 Lane 10 Chu Van An, Hue 530000 Vietnam",27,92,72,"English, Vietnamese",New Life Homestay,$12 ,$11 ,$11 - $12,"Which popular attractions are close to New Life Homestay?, ,What are some of the property amenities at New Life Homestay?, ,Which room amenities are available at New Life Homestay?, ,What food & drink options are available at New Life Homestay?, ,Is parking available at New Life Homestay?, ,What are some restaurants close to New Life Homestay?, ,Does New Life Homestay have an airport shuttle?, ,Does New Life Homestay have airport transportation?, ,Are pets allowed at New Life Homestay?, ,Which languages are spoken by the staff at New Life Homestay?, ,Are there any historical sites close to New Life Homestay?, ",37,148,#6 of 267 Specialty lodging in Hue,50,N/A,162,Excellent,5,"Trendy,Charming",16,https://www.tripadvisor.com/Hotel_Review-g293926-d12907206-Reviews-New_Life_Homestay-Hue_Thua_Thien_Hue_Province.html
"53 Nguyen Cong Tru st, Hue Vietnam",26,91,8,"English, Vietnamese",Khe Sanh Homestay,$17 ,$10 ,$10 - $17,"Which popular attractions are close to Khe Sanh Homestay?, ,What are some of the property amenities at Khe Sanh Homestay?, ,Which room amenities are available at Khe Sanh Homestay?, ,What food & drink options are available at Khe Sanh Homestay?, ,Is parking available at Khe Sanh Homestay?, ,What are some restaurants close to Khe Sanh Homestay?, ,Are any cleaning services offered at Khe Sanh Homestay?, ,Which languages are spoken by the staff at Khe Sanh Homestay?, ,Are there any historical sites close to Khe Sanh Homestay?, ",14,149,#9 of 267 Specialty lodging in Hue,45,20,134,Excellent,26,"Budget,Family",2,https://www.tripadvisor.com/Hotel_Review-g293926-d8018212-Reviews-Khe_Sanh_Homestay-Hue_Thua_Thien_Hue_Province.html
"7/25, Hai Ba Trung Street, Hue 530000 Vietnam",4,86,45,"English, Japanese, Vietnamese",Sunny C Hotel,$20 ,$15 ,$15 - $20,"Which popular attractions are close to Sunny C Hotel?, ,What are some of the property amenities at Sunny C Hotel?, ,Which room amenities are available at Sunny C Hotel?, ,What food & drink options are available at Sunny C Hotel?, ,Is parking available at Sunny C Hotel?, ,What are some restaurants close to Sunny C Hotel?, ,Does Sunny C Hotel have an airport shuttle?, ,Does Sunny C Hotel have airport transportation?, ,Is Sunny C Hotel located near the city center?, ,Are any cleaning services offered at Sunny C Hotel?, ",6,159,#45 of 209 hotels in Hue,45,20,31,Excellent,10,"Budget,Quiet",1,https://www.tripadvisor.com/Hotel_Review-g293926-d1407848-Reviews-Sunny_C_Hotel-Hue_Thua_Thien_Hue_Province.html
"15 Pham Ngu Lao Str, Hue Vietnam",26,94,29,N/A,Hue Sports 1 Hotel,N/A,N/A,N/A,"Which popular attractions are close to Hue Sports 1 Hotel?, ,What are some of the property amenities at Hue Sports 1 Hotel?, ,What food & drink options are available at Hue Sports 1 Hotel?, ,What are some restaurants close to Hue Sports 1 Hotel?, ,Does Hue Sports 1 Hotel have airport transportation?, ,Are any cleaning services offered at Hue Sports 1 Hotel?, ,Are there any historical sites close to Hue Sports 1 Hotel?, ",14,160,#80 of 209 hotels in Hue,35,N/A,176,Very good,29,Centrally Located,1,https://www.tripadvisor.com/Hotel_Review-g293926-d644746-Reviews-Hue_Sports_1_Hotel-Hue_Thua_Thien_Hue_Province.html
"6/34, Nguyen Tri Phuong Phu Nhuan Ward, Hue Vietnam",13,97,16,"English, Vietnamese",Nhat Le Hotel,$16 ,$10 ,$10 - $16,"Which popular attractions are close to Nhat Le Hotel?, ,What are some of the property amenities at Nhat Le Hotel?, ,Which room amenities are available at Nhat Le Hotel?, ,What food & drink options are available at Nhat Le Hotel?, ,Is parking available at Nhat Le Hotel?, ,What are some restaurants close to Nhat Le Hotel?, ,Does Nhat Le Hotel have airport transportation?, ,Is Nhat Le Hotel located near the city center?, ,Are pets allowed at Nhat Le Hotel?, ,Which languages are spoken by the staff at Nhat Le Hotel?, ,Are there any historical sites close to Nhat Le Hotel?, ",5,168,#66 of 209 hotels in Hue,40,10,96,Very good,40,"Budget,Centrally Located",1,https://www.tripadvisor.com/Hotel_Review-g293926-d613689-Reviews-Nhat_Le_Hotel-Hue_Thua_Thien_Hue_Province.html
